png,1017
json,628
js,359
css,228
html,127
gif,79
tdb,55
frm,52
xml,45
c,43
localstorage,43
localstorage-journal,42
desktop,39
log,37
sample,36
old,24
MYD,22
MYI,22
txt,21
ttf,20
c~,18
bak,17
dat,17
vmdk,15
