c,59894
h,52242
ri,28043
html,18678
png,9637
txt,8344
js,6401
rb,5999
o,5685
py,5158
gz,5005
pyc,4643
S,3782
deb,2749
json,2226
lua,2188
dts,1996
xml,1981
manifest,1882
md5,1875
tcl,1598
dtsi,1561
so,1505
mo,1363
